batterId,team,lastName,firstName,batHand,throwHand,freshmanYear
1697,ALST,White,Eriq,R,R,16
1673,ALST,Vazquez,Ivanniel,L,L,15
1566,ALST,Roblez,Jon,R,R,14
1556,ALST,Rivera,Edgardo,L,L,13
1555,ALST,Rios,Gustavo,R,R,15
1534,ALST,Prioleau,Oscar,S,R,16
1519,ALST,Phillips,Hunter,L,L,15
1516,ALST,Perez,Ricky,L,L,17
1505,ALST,Pagan,Yamil,R,R,15
1494,ALST,Ocasio,Carlos,R,R,14
1438,ALST,Melecio,Daniel,L,L,16
1424,ALST,McCall,Terrell,R,R,16
1366,ALST,Laney,Chase,R,R,15
1334,ALST,Kelly,Darren,R,R,15
1301,ALST,Howe,Tyler,R,R,13
1280,ALST,Hernandez,Ray,R,R,15
1236,ALST,Gonzalez,Carlos,L,L,16
1226,ALST,Gerard,Nate,R,R,16
1191,ALST,Estrada,Joseph,S,R,15
1182,ALST,Echelmeier,Burke,R,R,14
1177,ALST,Dunson,Joshua,R,R,17
1169,ALST,Drayton,Jared,R,R,16
1129,ALST,Cox,Cage,L,R,17
1108,ALST,Coffin,Patrick,R,L,14
1091,ALST,Caples,Brandon,R,R,14
1050,ALST,Bizzle,Austin,R,R,14
1049,ALST,Biocic,Chris,R,R,13
1041,ALST,Benevolent,John,R,R,17
1014,ALST,Amion,Diandre,L,L,16
1011,ALST,Allen,Hunter,R,R,15
1716,BC,Yish,Jacob,R,R,17
1709,BC,Witkowski,John,S,R,16
1677,BC,Walsh,Joey,L,L,17
1649,BC,Suozzi,Joe,R,R,16
1639,BC,Stone,Brandon,L,R,18
1635,BC,Stevens,Jacob,S,R,16
1545,BC,Rapp,Brian,R,R,15
1506,BC,Palomaki,Jake,S,R,14
1446,BC,Metzdorf,Dan,L,L,16
1418,BC,Maselli,Anthony,L,R,14
1407,BC,Martellini,Gian,R,R,15
1365,BC,Lane,Thomas,L,R,16
1305,BC,Hughes,Sean,R,R,16
1239,BC,Goodreau,Jake,L,R,17
1230,BC,Gill,Matt,L,R,17
1223,BC,Galland,Chris,R,R,17
1156,BC,Dempsey,Brian,R,R,16
1137,BC,Cunningham,Jack,L,R,16
1061,BC,Braren,Scott,L,L,14
1048,BC,Bigras,Mitch,L,L,14
1025,BC,Baldelli,Dante,R,R,16
1021,BC,Bacon,Connor,L,R,16
1013,BC,Alu,Jake,L,R,15
102,BC,Stromberg,Zach,L,L,16
101,BC,Skogsbergh,Bobby,R,R,15
100,BC,Soucy,Aaron,R,R,17
55,BC,Adams,Johnny,R,R,14
54,BC,Frenandes,Luke,R,R,14
53,BC,Balogh,Chris,L,L,14
52,BC,Casey,Donovan,R,R,15
51,BC,Strem,Michael,R,R,14
1717,CIN,Yoakam,Jarod,R,R,15
1698,CIN,Wiemer,Joey,R,R,17
1587,CIN,Schimmoeller,Tanner,R,R,15
1582,CIN,Santiago,Eric,R,R,16
1568,CIN,Rodriguez,Manny,R,R,14
1542,CIN,Ramey,Jordan,R,R,15
1498,CIN,Olson,Isaac,R,R,17
1497,CIN,Olasz,Aj,L,L,15
1476,CIN,Murphy,Cole,L,R,15
1470,CIN,Mottice,Kyle,L,R,16
1463,CIN,Moore,Nathan,R,R,17
1442,CIN,Mercer,Jace,S,R,16
1436,CIN,Mcvey,Connor,R,R,13
1259,CIN,Hammans,Tristan,R,R,15
1253,CIN,Haberkorn,Treg,L,L,14
1149,CIN,Deanna,Mason,R,R,15
1113,CIN,Colvin,Clayton,R,R,16
1078,CIN,Bumpass,Aj,L,R,15
1062,CIN,Bremner,Dondrae,L,R,17
1023,CIN,Baker,Cael,R,R,17
1654,CIT,Taglieri,Zach,R,R,17
1578,CIT,Sabo,Jonathan,R,R,14
1522,CIT,Pillsbury,Will,L,L,17
1514,CIT,Peden,Ben,L,R,15
1419,CIT,Massey,Aidan,R,R,17
1410,CIT,Martin,Clay,L,L,14
1342,CIT,Kinney,William,R,R,14
1323,CIT,Judkins,Andrew,L,L,17
1201,CIT,Finneseth,Gunnar,L,L,18
1145,CIT,Davis,JD,R,R,16
1126,CIT,Cothran,Taylor,R,R,15
1076,CIT,Buffington,Cole,R,R,15
1044,CIT,Bialakis,Alex,R,R,16
1036,CIT,Beckley,Devin,R,R,18
1029,CIT,Barbee,Hunter,R,R,18
1702,CLEM,Williams,Chris,R,R,15
1700,CLEM,Wilkie,Kyle,R,R,17
1695,CLEM,Wharton,Drew,R,R,15
1686,CLEM,Weatherly,Sam,L,L,18
1658,CLEM,Teodosio,Bryce,R,L,18
1643,CLEM,Strider,Spencer,R,R,18
1631,CLEM,Spiers,Carson,R,R,17
1589,CLEM,Schnell,Alex,L,L,15
1548,CLEM,Renwick,Adam,R,R,15
1455,CLEM,Miller,Ryan,R,R,15
1454,CLEM,Miller,Mitchell,L,L,17
1444,CLEM,Meredith,Kier,L,L,18
1405,CLEM,Marr,Travis,R,R,17
1394,CLEM,Majkowski,Bo,L,R,18
1321,CLEM,Jones,Holt,R,R,18
1318,CLEM,Jolly,Robert,L,R,15
1304,CLEM,Huggins,Ryne,R,L,17
1289,CLEM,Higginbotham,Jake,L,L,16
1277,CLEM,Hennessy,Jacob,L,L,17
1271,CLEM,Hawkins,Justin,R,R,15
1256,CLEM,Hall,Sam,R,R,18
1250,CLEM,Griffith,Owen,R,R,17
1248,CLEM,Greene,Jordan,R,R,16
1235,CLEM,Gobin,Bo,R,R,17
1231,CLEM,Gilliam,Ryley,R,R,16
1167,CLEM,Donathan,Drew,R,R,18
1143,CLEM,Davidson,Logan,S,R,17
1134,CLEM,Cromwell,Patrick,L,R,15
1132,CLEM,Crawford,Brooks,R,R,16
1125,CLEM,Cooper,Matt,R,R,18
1109,CLEM,Coker,Andrew,R,R,17
1104,CLEM,Clark,Mat,R,L,17
1085,CLEM,Byrd,Grayson,L,R,15
1056,CLEM,Bowen,Bryce,L,L,18
1037,CLEM,Beer,Seth,L,R,16
1724,DUK,Zyla,Peter,L,R,15
1703,DUK,Williams,Coleman,R,R,17
1679,DUK,Wardwell,Tyler,S,R,18
1660,DUK,Therien,Aaron,S,R,16
1657,DUK,Taylor,Kennie,R,R,16
1637,DUK,Stinson,Graeme,L,L,17
1633,DUK,Stallings,Mitch,L,L,15
1618,DUK,Smiciklas,Michael,L,R,15
1606,DUK,Shigaki-Than,Toma,R,R,18
1571,DUK,Rothenberg,Michael,S,R,18
1535,DUK,Proctor,Chris,L,R,16
1518,DUK,Pesto,Al,R,R,16
1487,DUK,Nifong,Josh,L,R,18
1483,DUK,Nichols,Erikson,R,R,17
1453,DUK,Miller,Max,R,R,15
1445,DUK,Mervis,Matt,L,R,17
1431,DUK,McGrath,Chris,R,L,15
1430,DUK,McGhee,James,L,L,15
1401,DUK,Mann,Steve,R,R,18
1387,DUK,Loperfido,Joey,L,R,18
1372,DUK,Laskey,Adam,R,L,17
1360,DUK,Labosky,Jack,R,R,15
1353,DUK,Kovachik,Cameron,R,R,17
1352,DUK,Kone,Zack,R,R,16
1313,DUK,Jarvis,Bryce,L,R,18
1303,DUK,Hoyle,Wil,S,R,18
1284,DUK,Hersh,Zack,R,L,16
1283,DUK,Herron,Jimmy,R,L,16
1243,DUK,Granoff,Sam,L,L,14
1232,DUK,Girard,Thomas,R,R,18
